"FullName","Length"
"C:\Users\joshu\OneDrive\Documents\UC Class Folders\Fall 2021 Semester\IT1051-Fund of Digital Media\AcrobatDeepDive.mp4","231268283"
"C:\Program Files (x86)\Steam\steamapps\common\Untitled Goose Game\Untitled_Data\sharedassets2.assets.resS","231837496"
"C:\Program Files (x86)\Steam\steamapps\common\Halo The Master Chief Collection\halo2\terminals\Halo_Groundhog_EP04.bk2","231896164"
"C:\Program Files (x86)\Steam\steamapps\common\Halo The Master Chief Collection\halo3odst\maps\campaign.map","231927808"
"C:\Program Files (x86)\Steam\steamapps\common\Batman Arkham Knight\BmGame\Movies\Intro.usm","232202528"
"C:\Program Files (x86)\Steam\steamapps\common\Borderlands 2\WillowGame\Movies\Attract.bik","233043216"
"C:\Program Files (x86)\Steam\steamapps\common\Halo The Master Chief Collection\halo4\maps\ca_gore_valley.map","233181184"
"C:\Program Files (x86)\Steam\steamapps\common\Halo The Master Chief Collection\haloreach\maps\cex_beaver_creek.map","233426944"
"C:\Program Files (x86)\Steam\steamapps\common\Halo The Master Chief Collection\halo2\terminals\Halo_Groundhog_EP08.bk2","233490864"
"C:\Program Files (x86)\Steam\steamapps\downloading\292030\content\content10\texture.cache","234011020"
"C:\Program Files (x86)\Steam\steamapps\common\Halo Infinite\subgames\CampaignS1\Sound\win\SFX\sb_120_mus_hvtunsc.pck","234452532"
"C:\Program Files (x86)\Steam\steamapps\common\Halo The Master Chief Collection\halo1\prebuild\sounds\pc\cinematic.fsb","234465120"
"C:\Program Files (x86)\Steam\steamapps\common\Halo The Master Chief Collection\halo4\maps\ca_blood_crash.map","234799104"
"C:\Program Files (x86)\Steam\steamapps\common\the witcher 2\CookedPC\movies\intro.usm","234894496"
"C:\Program Files (x86)\Steam\steamapps\common\BioShock 2\SP\Content\BulkContent\DynamicBulkFileTexturesDLC4_2.blk","235241472"
"C:\Program Files (x86)\Steam\steamapps\common\Halo The Master Chief Collection\halo3odst\maps\sc150.map","235544576"
"C:\Program Files (x86)\Steam\steamapps\common\Counter-Strike Global Offensive\game\csgo_core\shaders_vulkan_002.vpk","235574971"
"C:\Program Files (x86)\Steam\steamapps\downloading\292030\content\content4\bundles\blob.bundle","235822448"
"C:\Program Files (x86)\Steam\steamapps\common\Halo The Master Chief Collection\halo1\terminals\two_betrayals.bk2","236044980"
"C:\Program Files (x86)\Steam\steamapps\common\Halo Infinite\deploy\any\levels\multi\fo09_academy\fo09_academy-rtx-new.module","236326912"
"C:\Program Files (x86)\Steam\steamapps\common\Batman Arkham Knight\DLC\350172\Content\BmGame\CookedPCConsole\SFX\SFX_DLC_BmobClassic.wad","237125632"
"C:\Program Files (x86)\Steam\steamapps\common\Halo The Master Chief Collection\halo4\maps\ca_basin.map","237256704"
"C:\Program Files (x86)\Steam\steamapps\common\Grand Theft Auto V\x64\audio\sfx\SCRIPT.rpf","237871104"
"C:\Program Files (x86)\Steam\steamapps\common\Halo The Master Chief Collection\haloreach\maps\30_settlement.map","238194688"
"C:\Program Files (x86)\Steam\steamapps\common\Halo The Master Chief Collection\halo3\maps\s3d_edge.map","238206976"
"C:\Program Files (x86)\Steam\steamapps\common\BioShock Remastered\ContentBaked\pc\BinkMovies\DC_5-Hephaestus.bik","238282344"
"C:\Program Files (x86)\Steam\steamapps\downloading\292030\content\content4\collision.cache","238338306"
"C:\Program Files (x86)\Steam\steamapps\common\Halo The Master Chief Collection\halo2\terminals\Halo_Groundhog_EP07.bk2","238564600"
"C:\Program Files (x86)\Steam\steamapps\common\Halo The Master Chief Collection\halo4\maps\dlc_dejewel.map","239239168"
"C:\Program Files (x86)\Steam\steamapps\common\Batman Arkham City GOTY\BmGame\MoviesStereo\5_12.usm","239257760"
"C:\Program Files (x86)\Steam\steamapps\common\Splitgate\PortalWars\Content\Paks\pakchunk60_s1-WindowsNoEditor.ucas","239406384"
"C:\Program Files (x86)\Steam\steamapps\common\Halo The Master Chief Collection\halo4\maps\z11_valhalla.map","239513600"
"C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Fallout4 - Geometry.csg","240043177"
"C:\Program Files (x86)\Steam\steamapps\common\Halo Infinite\deploy\pc\levels\multi\ridgeline\ridgeline-rtx-new.module_hd1","240140288"
"C:\Program Files (x86)\Steam\steamapps\common\Batman Arkham City GOTY\BmGame\MoviesStereo\2_03_PT1.usm","240973504"
